Date,brand,sessions,conversions,revenue,cr,aov,campaign,campaign_volume
2022-01-06,epsilon,46,0,0.0,0.001075,3679.01,no,no-campaign
2022-01-07,alpha,55,0,0.0,0.004496,406.73,no,no-campaign
2022-01-07,beta,325,6,641.16,0.018498,106.86,no,no-campaign
2022-01-07,gamma,20,0,0.0,0.001802,1162.88,no,no-campaign
2022-01-07,delta,706,23,754.87,0.031074,32.82,no,no-campaign
2022-01-07,epsilon,39,0,0.0,0.001298,2931.25,no,no-campaign
2022-01-08,alpha,52,1,470.79,0.005484,470.79,no,no-campaign
2022-01-08,beta,192,6,503.88,0.018318,83.98,no,no-campaign
2022-01-08,gamma,10,0,0.0,0.001937,1405.12,no,no-campaign
2022-01-08,delta,363,11,386.46,0.033732,35.13,no,no-campaign
2022-01-08,epsilon,36,1,3420.48,0.001182,3420.48,no,no-campaign
2022-01-09,alpha,39,0,0.0,0.005489,461.44,no,no-campaign
2022-01-09,beta,197,4,339.7,0.018468,84.92,no,no-campaign
2022-01-09,gamma,14,0,0.0,0.002012,1189.85,no,no-campaign
2022-01-09,delta,491,13,418.17,0.025429,32.17,no,no-campaign
2022-01-09,epsilon,38,0,0.0,0.001375,3486.89,no,no-campaign
2022-01-10,alpha,66,0,0.0,0.004354,366.94,no,no-campaign
2022-01-10,beta,269,2,234.01,0.018178,117.0,no,no-campaign
2022-01-10,gamma,11,0,0.0,0.001797,1067.35,no,no-campaign
2022-01-10,delta,499,17,557.15,0.032549,32.77,no,no-campaign
2022-01-10,epsilon,50,0,0.0,0.000941,3254.15,no,no-campaign
2022-01-11,alpha,54,0,0.0,0.004092,391.82,no,no-campaign
2022-01-11,beta,396,10,895.75,0.017003,89.58,no,no-campaign
2022-01-11,gamma,15,0,0.0,0.002504,1098.08,no,no-campaign
2022-01-11,delta,479,13,406.67,0.029104,31.28,no,no-campaign
2022-01-11,epsilon,44,0,0.0,0.001219,3643.21,no,no-campaign
2022-01-12,alpha,43,0,0.0,0.005249,455.84,no,no-campaign
2022-01-12,beta,290,10,955.99,0.016749,95.6,no,no-campaign
2022-01-12,gamma,14,0,0.0,0.001887,1120.75,no,no-campaign
2022-01-12,delta,486,13,469.86,0.03322,36.14,no,no-campaign
2022-01-12,epsilon,40,1,3380.7,0.001313,3380.7,no,no-campaign
2022-01-13,alpha,70,1,441.2,0.004657,441.2,no,no-campaign
2022-01-13,beta,270,6,613.3,0.019874,102.22,no,no-campaign
2022-01-13,gamma,14,0,0.0,0.001858,1306.59,no,no-campaign
2022-01-13,delta,654,20,627.54,0.026588,31.38,no,no-campaign
2022-01-13,epsilon,51,0,0.0,0.001294,3196.47,no,no-campaign
2022-01-14,alpha,50,1,492.55,0.003891,492.55,no,no-campaign
2022-01-14,beta,328,6,548.2,0.021186,91.37,no,no-campaign
2022-01-14,gamma,16,0,0.0,0.001835,1079.07,no,no-campaign
2022-01-14,delta,393,14,476.85,0.03622,34.06,no,no-campaign
2022-01-14,epsilon,48,0,0.0,0.001398,3429.89,no,no-campaign
2022-01-15,alpha,44,0,0.0,0.005247,446.91,no,no-campaign
2022-01-15,beta,208,4,415.17,0.018151,103.79,no,no-campaign
2022-01-15,gamma,16,0,0.0,0.002244,1335.22,no,no-campaign
2022-01-15,delta,376,12,458.57,0.029603,38.21,no,no-campaign
2022-01-15,epsilon,35,0,0.0,0.00102,3511.65,no,no-campaign
2022-01-16,alpha,30,0,0.0,0.005209,497.26,no,no-campaign
2022-01-16,beta,233,4,406.24,0.020223,101.56,no,no-campaign
2022-01-16,gamma,15,1,1054.52,0.002304,1054.52,no,no-campaign
2022-01-16,delta,298,10,346.41,0.035292,34.64,no,no-campaign
2022-01-16,epsilon,43,0,0.0,0.001201,3213.56,no,no-campaign
2022-01-17,alpha,56,0,0.0,0.004127,371.33,no,no-campaign
2022-01-17,beta,324,6,639.46,0.014973,106.58,no,no-campaign
2022-01-17,gamma,19,0,0.0,0.00204,1003.48,no,no-campaign
2022-01-17,delta,540,20,791.76,0.032416,39.59,no,no-campaign
2022-01-17,epsilon,58,0,0.0,0.000972,2876.74,no,no-campaign
2022-01-18,alpha,41,0,0.0,0.005122,345.46,no,no-campaign
2022-01-18,beta,394,6,488.99,0.015253,81.5,no,no-campaign
2022-01-18,gamma,16,0,0.0,0.001752,1149.35,no,no-campaign
2022-01-18,delta,561,14,448.4,0.033643,32.03,no,no-campaign
2022-01-18,epsilon,52,0,0.0,0.001126,2979.61,no,no-campaign
2022-01-19,alpha,43,0,0.0,0.004886,422.18,no,no-campaign
2022-01-19,beta,186,3,290.54,0.01655,96.85,no,no-campaign
2022-01-19,gamma,17,0,0.0,0.00219,1048.71,no,no-campaign
2022-01-19,delta,487,18,612.63,0.039889,34.03,no,no-campaign
2022-01-19,epsilon,53,0,0.0,0.001066,3208.25,no,no-campaign
2022-01-20,alpha,67,0,0.0,0.004924,385.39,no,no-campaign
2022-01-20,beta,242,3,280.25,0.016148,93.42,no,no-campaign
2022-01-20,gamma,15,0,0.0,0.002053,1193.94,no,no-campaign
2022-01-20,delta,539,20,704.89,0.03583,35.24,no,no-campaign
2022-01-20,epsilon,39,0,0.0,0.00106,3145.65,no,no-campaign
2022-01-21,alpha,76,1,353.55,0.004273,353.55,no,no-campaign
2022-01-21,beta,348,3,278.95,0.017236,92.98,no,no-campaign
2022-01-21,gamma,14,1,878.15,0.001873,878.15,no,no-campaign
2022-01-21,delta,641,17,590.47,0.031438,34.73,no,no-campaign
2022-01-21,epsilon,53,0,0.0,0.00123,3846.06,no,no-campaign
2022-01-22,alpha,60,0,0.0,0.004618,442.13,no,no-campaign
2022-01-22,beta,236,3,273.48,0.012955,91.16,no,no-campaign
2022-01-22,gamma,11,0,0.0,0.002793,951.53,no,no-campaign
2022-01-22,delta,370,8,306.54,0.028647,38.32,no,no-campaign
2022-01-22,epsilon,33,0,0.0,0.001279,3643.31,no,no-campaign
2022-01-23,alpha,31,0,0.0,0.004417,426.47,no,no-campaign
2022-01-23,beta,213,4,374.71,0.018188,93.68,no,no-campaign
2022-01-23,gamma,11,0,0.0,0.001925,1155.14,no,no-campaign
2022-01-23,delta,488,15,509.82,0.033306,33.99,no,no-campaign
2022-01-23,epsilon,24,0,0.0,0.001063,2704.13,no,no-campaign
2022-01-24,alpha,55,1,420.61,0.004136,420.61,no,no-campaign
2022-01-24,beta,345,9,789.55,0.018208,87.73,no,no-campaign
2022-01-24,gamma,17,0,0.0,0.001754,1022.02,no,no-campaign
2022-01-24,delta,574,14,511.58,0.028329,36.54,no,no-campaign
2022-01-24,epsilon,51,0,0.0,0.001162,2930.17,no,no-campaign
2022-01-25,alpha,54,0,0.0,0.004679,458.06,no,no-campaign
2022-01-25,beta,350,8,899.85,0.018916,112.48,no,no-campaign
2022-01-25,gamma,16,0,0.0,0.002747,1080.1,no,no-campaign
2022-01-25,delta,572,20,747.25,0.030396,37.36,no,no-campaign
2022-01-25,epsilon,67,1,3693.36,0.00141,3693.36,no,no-campaign
2022-01-26,alpha,51,2,830.54,0.00444,415.27,no,no-campaign
2022-01-26,beta,442,4,360.41,0.019168,90.1,no,no-campaign
2022-01-26,gamma,15,0,0.0,0.002208,1107.28,no,no-campaign
2022-01-26,delta,679,18,550.3,0.027194,30.57,no,no-campaign
2022-01-26,epsilon,43,0,0.0,0.001199,2841.77,no,no-campaign
2022-01-27,alpha,54,0,0.0,0.005436,496.04,no,no-campaign
2022-01-27,beta,343,5,497.61,0.015932,99.52,no,no-campaign
2022-01-27,gamma,13,0,0.0,0.002036,1025.19,no,no-campaign
2022-01-27,delta,610,18,599.74,0.028004,33.32,no,no-campaign
2022-01-27,epsilon,43,0,0.0,0.001437,2520.77,no,no-campaign
2022-01-28,alpha,72,0,0.0,0.004341,427.77,no,no-campaign
2022-01-28,beta,228,1,85.96,0.016396,85.96,no,no-campaign
2022-01-28,gamma,22,0,0.0,0.002238,1233.37,no,no-campaign
2022-01-28,delta,499,10,353.12,0.027489,35.31,no,no-campaign
2022-01-28,epsilon,47,0,0.0,0.001151,3134.66,no,no-campaign
2022-01-29,alpha,51,0,0.0,0.005274,406.57,no,no-campaign
2022-01-29,beta,276,2,174.63,0.016635,87.31,no,no-campaign
2022-01-29,gamma,13,0,0.0,0.001721,1195.39,no,no-campaign
2022-01-29,delta,418,10,325.21,0.025848,32.52,no,no-campaign
2022-01-29,epsilon,42,0,0.0,0.001013,3579.97,no,no-campaign
2022-01-30,alpha,28,0,0.0,0.005128,416.36,no,no-campaign
2022-01-30,beta,250,1,92.17,0.017933,92.17,no,no-campaign
2022-01-30,gamma,14,0,0.0,0.00259,1168.61,no,no-campaign
2022-01-30,delta,418,8,280.46,0.029345,35.06,no,no-campaign
2022-01-30,epsilon,36,0,0.0,0.001229,2930.28,no,no-campaign
2022-01-31,alpha,84,0,0.0,0.00545,402.64,no,no-campaign
2022-01-31,beta,323,7,726.49,0.018562,103.78,no,no-campaign
2022-01-31,gamma,17,0,0.0,0.001833,1118.65,no,no-campaign
2022-01-31,delta,495,11,358.3,0.024986,32.57,no,no-campaign
2022-01-31,epsilon,53,0,0.0,0.000972,3859.24,no,no-campaign
2022-02-01,alpha,60,0,0.0,0.004511,447.32,no,no-campaign
2022-02-01,beta,307,4,379.82,0.015,94.95,no,no-campaign
2022-02-01,gamma,15,0,0.0,0.001992,1290.05,no,no-campaign
2022-02-01,delta,419,14,512.54,0.028593,36.61,no,no-campaign
2022-02-01,epsilon,49,0,0.0,0.000971,3547.07,no,no-campaign
2022-02-02,alpha,59,1,426.77,0.005387,426.77,no,no-campaign
2022-02-02,beta,206,4,418.82,0.019251,104.71,no,no-campaign
2022-02-02,gamma,19,1,1145.12,0.002032,1145.12,no,no-campaign
2022-02-02,delta,508,22,764.45,0.034353,34.75,no,no-campaign
2022-02-02,epsilon,33,0,0.0,0.001274,2913.42,no,no-campaign
2022-02-03,alpha,76,0,0.0,0.004889,403.7,no,no-campaign
2022-02-03,beta,233,2,205.43,0.020401,102.72,no,no-campaign
2022-02-03,gamma,17,0,0.0,0.00202,1210.71,no,no-campaign
2022-02-03,delta,658,17,568.31,0.027638,33.43,no,no-campaign
2022-02-03,epsilon,27,0,0.0,0.001081,3436.93,no,no-campaign
2022-02-04,alpha,49,0,0.0,0.004478,383.71,no,no-campaign
2022-02-04,beta,240,4,340.87,0.014272,85.22,no,no-campaign
2022-02-04,gamma,20,0,0.0,0.001949,1095.11,no,no-campaign
2022-02-04,delta,626,22,890.95,0.03451,40.5,no,no-campaign
2022-02-04,epsilon,40,0,0.0,0.001117,3364.01,no,no-campaign
2022-02-05,alpha,43,0,0.0,0.005929,398.97,no,no-campaign
2022-02-05,beta,223,3,267.47,0.017205,89.16,no,no-campaign
2022-02-05,gamma,11,0,0.0,0.001915,1159.34,no,no-campaign
2022-02-05,delta,445,8,297.1,0.031229,37.14,no,no-campaign
2022-02-05,epsilon,48,0,0.0,0.001017,2996.27,no,no-campaign
2022-02-06,alpha,39,0,0.0,0.004995,447.1,no,no-campaign
2022-02-06,beta,163,5,528.62,0.017965,105.72,no,no-campaign
2022-02-06,gamma,14,0,0.0,0.001916,1160.06,no,no-campaign
2022-02-06,delta,483,17,634.55,0.031496,37.33,no,no-campaign
2022-02-06,epsilon,28,0,0.0,0.001271,3095.1,no,no-campaign
2022-02-07,alpha,54,1,405.39,0.005226,405.39,no,no-campaign
2022-02-07,beta,285,7,588.4,0.018101,84.06,no,no-campaign
2022-02-07,gamma,20,0,0.0,0.002151,1118.63,no,no-campaign
2022-02-07,delta,572,21,722.77,0.031507,34.42,no,no-campaign
2022-02-07,epsilon,41,0,0.0,0.000966,3490.35,no,no-campaign
2022-02-08,alpha,57,0,0.0,0.005232,483.55,no,no-campaign
2022-02-08,beta,272,5,457.94,0.014677,91.59,no,no-campaign
2022-02-08,gamma,21,0,0.0,0.002341,1078.2,no,no-campaign
2022-02-08,delta,451,16,508.58,0.037442,31.79,no,no-campaign
2022-02-08,epsilon,44,0,0.0,0.001236,3131.27,no,no-campaign
2022-02-09,alpha,64,0,0.0,0.005045,411.42,no,no-campaign
2022-02-09,beta,259,5,489.88,0.020583,97.98,no,no-campaign
2022-02-09,gamma,18,0,0.0,0.002048,1172.48,no,no-campaign
2022-02-09,delta,439,12,434.42,0.029821,36.2,no,no-campaign
2022-02-09,epsilon,37,0,0.0,0.001098,3195.89,no,no-campaign
2022-02-10,alpha,70,0,0.0,0.004623,403.47,no,no-campaign
2022-02-10,beta,187,6,535.77,0.01763,89.29,no,no-campaign
2022-02-10,gamma,14,0,0.0,0.001989,1099.64,no,no-campaign
2022-02-10,delta,429,14,575.22,0.03195,41.09,no,no-campaign
2022-02-10,epsilon,40,0,0.0,0.001188,3148.86,no,no-campaign
2022-02-11,alpha,55,1,444.94,0.006204,444.94,no,no-campaign
2022-02-11,beta,355,12,1146.13,0.020112,95.51,no,no-campaign
2022-02-11,gamma,15,0,0.0,0.001913,1120.44,no,no-campaign
2022-02-11,delta,493,10,340.05,0.028308,34.01,no,no-campaign
2022-02-11,epsilon,48,0,0.0,0.001196,3880.47,no,no-campaign
2022-02-12,alpha,41,0,0.0,0.005473,379.46,no,no-campaign
2022-02-12,beta,232,7,572.27,0.017453,81.75,no,no-campaign
2022-02-12,gamma,14,0,0.0,0.002268,1280.0,no,no-campaign
2022-02-12,delta,389,12,398.9,0.024661,33.24,no,no-campaign
2022-02-12,epsilon,33,0,0.0,0.001381,3360.45,no,no-campaign
2022-02-13,alpha,42,0,0.0,0.003824,428.99,no,no-campaign
2022-02-13,beta,184,3,253.65,0.015737,84.55,no,no-campaign
2022-02-13,gamma,15,0,0.0,0.002019,980.04,no,no-campaign
2022-02-13,delta,378,15,556.57,0.034787,37.1,no,no-campaign
2022-02-13,epsilon,25,0,0.0,0.001328,3572.18,no,no-campaign
2022-02-14,alpha,67,0,0.0,0.005265,460.81,no,no-campaign
2022-02-14,beta,288,3,271.21,0.017308,90.4,no,no-campaign
2022-02-14,gamma,17,0,0.0,0.001766,1081.35,no,no-campaign
2022-02-14,delta,601,19,686.06,0.033487,36.11,no,no-campaign
2022-02-14,epsilon,64,0,0.0,0.00118,3535.62,no,no-campaign
2022-02-15,alpha,52,0,0.0,0.005169,396.11,no,no-campaign
2022-02-15,beta,266,6,616.43,0.018476,102.74,no,no-campaign
2022-02-15,gamma,19,0,0.0,0.002048,1145.38,no,no-campaign
2022-02-15,delta,622,10,405.43,0.026155,40.54,no,no-campaign
2022-02-15,epsilon,36,0,0.0,0.001191,3296.1,no,no-campaign
2022-02-16,alpha,64,0,0.0,0.00594,441.89,no,no-campaign
2022-02-16,beta,280,7,595.44,0.020762,85.06,no,no-campaign
2022-02-16,gamma,13,0,0.0,0.001683,1269.74,no,no-campaign
2022-02-16,delta,453,10,340.57,0.0249,34.06,no,no-campaign
2022-02-16,epsilon,43,0,0.0,0.001103,3529.73,no,no-campaign
2022-02-17,alpha,79,0,0.0,0.005625,407.9,no,no-campaign
2022-02-17,beta,242,8,684.86,0.017957,85.61,no,no-campaign
2022-02-17,gamma,12,0,0.0,0.002191,1128.19,no,no-campaign
2022-02-17,delta,510,13,453.62,0.032059,34.89,no,no-campaign
2022-02-17,epsilon,35,0,0.0,0.001348,3027.03,no,no-campaign
2022-02-18,alpha,74,0,0.0,0.004141,384.21,no,no-campaign
2022-02-18,beta,326,5,468.24,0.017712,93.65,no,no-campaign
2022-02-18,gamma,22,0,0.0,0.001982,1044.15,no,no-campaign
2022-02-18,delta,561,13,477.8,0.030444,36.75,no,no-campaign
2022-02-18,epsilon,34,0,0.0,0.00148,2861.09,no,no-campaign
2022-02-19,alpha,42,0,0.0,0.005506,399.34,no,no-campaign
2022-02-19,beta,186,4,352.48,0.018613,88.12,no,no-campaign
2022-02-19,gamma,19,0,0.0,0.002317,1273.05,no,no-campaign
2022-02-19,delta,382,11,381.95,0.025453,34.72,no,no-campaign
2022-02-19,epsilon,53,0,0.0,0.001147,3141.9,no,no-campaign
2022-02-20,alpha,37,0,0.0,0.004591,398.4,no,no-campaign
2022-02-20,beta,190,5,412.93,0.018512,82.59,no,no-campaign
2022-02-20,gamma,16,0,0.0,0.002103,1032.37,no,no-campaign
2022-02-20,delta,392,11,407.44,0.026637,37.04,no,no-campaign
2022-02-20,epsilon,42,0,0.0,0.001157,3601.72,no,no-campaign
2022-02-21,alpha,51,2,816.42,0.004386,408.21,no,no-campaign
2022-02-21,beta,279,5,444.03,0.020856,88.81,no,no-campaign
2022-02-21,gamma,18,0,0.0,0.001759,1015.35,no,no-campaign
2022-02-21,delta,398,14,443.68,0.031886,31.69,no,no-campaign
2022-02-21,epsilon,30,1,3450.83,0.001199,3450.83,no,no-campaign
2022-02-22,alpha,64,1,456.22,0.004941,456.22,no,no-campaign
2022-02-22,beta,262,2,207.74,0.016613,103.87,no,no-campaign
2022-02-22,gamma,14,0,0.0,0.002341,1105.01,no,no-campaign
2022-02-22,delta,572,18,678.12,0.02991,37.67,no,no-campaign
2022-02-22,epsilon,44,0,0.0,0.001025,2907.49,no,no-campaign
2022-02-23,alpha,57,0,0.0,0.005314,422.05,no,no-campaign
2022-02-23,beta,266,4,349.2,0.014201,87.3,no,no-campaign
2022-02-23,gamma,16,1,1093.81,0.001841,1093.81,no,no-campaign
2022-02-23,delta,477,8,270.9,0.028557,33.86,no,no-campaign
2022-02-23,epsilon,37,1,2996.86,0.001202,2996.86,no,no-campaign
2022-02-24,alpha,46,0,0.0,0.005579,439.31,no,no-campaign
2022-02-24,beta,396,5,465.49,0.015277,93.1,no,no-campaign
2022-02-24,gamma,15,0,0.0,0.001466,1047.23,no,no-campaign
2022-02-24,delta,567,16,558.44,0.026626,34.9,no,no-campaign
2022-02-24,epsilon,34,0,0.0,0.001194,3554.77,no,no-campaign
2022-02-25,alpha,54,0,0.0,0.004241,363.23,no,no-campaign
2022-02-25,beta,290,3,315.86,0.018453,105.29,no,no-campaign
2022-02-25,gamma,14,0,0.0,0.001979,1195.1,no,no-campaign
2022-02-25,delta,634,11,432.85,0.031097,39.35,no,no-campaign
2022-02-25,epsilon,58,0,0.0,0.001268,3010.65,no,no-campaign
2022-02-26,alpha,46,0,0.0,0.005054,429.05,no,no-campaign
2022-02-26,beta,193,3,261.14,0.015313,87.05,no,no-campaign
2022-02-26,gamma,16,0,0.0,0.00218,1203.16,no,no-campaign
2022-02-26,delta,369,11,367.98,0.025813,33.45,no,no-campaign
2022-02-26,epsilon,38,0,0.0,0.001289,2963.33,no,no-campaign
2022-02-27,alpha,48,0,0.0,0.004411,351.88,no,no-campaign
2022-02-27,beta,219,7,636.67,0.018322,90.95,no,no-campaign
2022-02-27,gamma,11,0,0.0,0.002211,1022.33,no,no-campaign
2022-02-27,delta,433,10,371.52,0.032766,37.15,no,no-campaign
2022-02-27,epsilon,39,0,0.0,0.001259,3017.8,no,no-campaign
2022-02-28,alpha,63,0,0.0,0.00418,439.11,no,no-campaign
2022-02-28,beta,314,8,960.52,0.018528,120.06,no,no-campaign
2022-02-28,gamma,20,0,0.0,0.00179,1235.19,no,no-campaign
2022-02-28,delta,514,20,725.31,0.036656,36.27,no,no-campaign
2022-02-28,epsilon,55,0,0.0,0.001115,3161.63,no,no-campaign
2022-03-01,alpha,72,0,0.0,0.004202,380.2,no,no-campaign
2022-03-01,beta,439,5,554.87,0.017212,110.97,no,no-campaign
2022-03-01,gamma,27,0,0.0,0.001665,1232.37,no,no-campaign
2022-03-01,delta,599,17,726.21,0.027137,42.72,no,no-campaign
2022-03-01,epsilon,38,0,0.0,0.001459,3487.66,no,no-campaign
2022-03-02,alpha,78,0,0.0,0.00468,390.18,no,no-campaign
2022-03-02,beta,367,7,627.25,0.020579,89.61,no,no-campaign
2022-03-02,gamma,30,0,0.0,0.001698,1118.96,no,no-campaign
2022-03-02,delta,612,15,553.24,0.034734,36.88,no,no-campaign
2022-03-02,epsilon,36,0,0.0,0.001367,3791.51,no,no-campaign
2022-03-03,alpha,90,0,0.0,0.004221,377.87,no,no-campaign
2022-03-03,beta,377,7,684.63,0.014558,97.8,no,no-campaign
2022-03-03,gamma,27,0,0.0,0.001993,1290.22,no,no-campaign
2022-03-03,delta,649,15,542.03,0.032936,36.14,no,no-campaign
2022-03-03,epsilon,32,0,0.0,0.001252,3235.19,no,no-campaign
2022-03-04,alpha,70,1,388.09,0.004879,388.09,no,no-campaign
2022-03-04,beta,333,4,353.5,0.020086,88.38,no,no-campaign
2022-03-04,gamma,29,0,0.0,0.001746,938.62,no,no-campaign
2022-03-04,delta,482,22,806.6,0.030242,36.66,no,no-campaign
2022-03-04,epsilon,31,0,0.0,0.001126,3437.12,no,no-campaign
2022-03-05,alpha,43,1,521.96,0.004261,521.96,no,no-campaign
2022-03-05,beta,254,4,365.68,0.017332,91.42,no,no-campaign
2022-03-05,gamma,20,0,0.0,0.002106,1170.8,no,no-campaign
2022-03-05,delta,473,17,590.59,0.037285,34.74,no,no-campaign
2022-03-05,epsilon,27,0,0.0,0.001137,3834.55,no,no-campaign
2022-03-06,alpha,57,1,420.79,0.0064,420.79,no,no-campaign
2022-03-06,beta,242,4,353.63,0.016657,88.41,no,no-campaign
2022-03-06,gamma,19,0,0.0,0.002127,1131.88,no,no-campaign
2022-03-06,delta,412,14,486.58,0.033354,34.76,no,no-campaign
2022-03-06,epsilon,30,0,0.0,0.001096,3079.54,no,no-campaign
2022-03-07,alpha,88,1,427.65,0.004014,427.65,no,no-campaign
2022-03-07,beta,478,10,1017.75,0.019198,101.77,no,no-campaign
2022-03-07,gamma,28,0,0.0,0.001783,1142.75,no,no-campaign
2022-03-07,delta,508,18,640.95,0.030742,35.61,no,no-campaign
2022-03-07,epsilon,42,0,0.0,0.00104,3127.33,no,no-campaign
2022-03-08,alpha,88,0,0.0,0.006822,442.49,no,no-campaign
2022-03-08,beta,409,11,1102.63,0.016342,100.24,no,no-campaign
2022-03-08,gamma,32,0,0.0,0.001808,1045.44,no,no-campaign
2022-03-08,delta,538,22,747.98,0.036417,34.0,no,no-campaign
2022-03-08,epsilon,48,0,0.0,0.001139,3318.41,no,no-campaign
2022-03-09,alpha,68,0,0.0,0.005229,391.17,no,no-campaign
2022-03-09,beta,338,7,682.17,0.01844,97.45,no,no-campaign
2022-03-09,gamma,26,0,0.0,0.002127,1117.92,no,no-campaign
2022-03-09,delta,629,28,878.72,0.032502,31.38,no,no-campaign
2022-03-09,epsilon,45,0,0.0,0.001069,3243.53,no,no-campaign
2022-03-10,alpha,83,1,345.4,0.004928,345.4,no,no-campaign
2022-03-10,beta,428,8,753.83,0.01688,94.23,no,no-campaign
2022-03-10,gamma,32,0,0.0,0.001877,1167.25,no,no-campaign
2022-03-10,delta,515,10,412.97,0.031352,41.3,no,no-campaign
2022-03-10,epsilon,38,0,0.0,0.001157,3438.88,no,no-campaign
2022-03-11,alpha,53,0,0.0,0.005671,388.58,no,no-campaign
2022-03-11,beta,458,13,1223.44,0.022101,94.11,no,no-campaign
2022-03-11,gamma,28,0,0.0,0.002017,1221.26,no,no-campaign
2022-03-11,delta,617,22,788.6,0.034495,35.85,no,no-campaign
2022-03-11,epsilon,45,0,0.0,0.000966,3007.88,no,no-campaign
2022-03-12,alpha,60,0,0.0,0.005896,414.84,no,no-campaign
2022-03-12,beta,349,8,889.61,0.020842,111.2,no,no-campaign
2022-03-12,gamma,22,0,0.0,0.002451,1040.05,no,no-campaign
2022-03-12,delta,457,5,143.46,0.028458,28.69,no,no-campaign
2022-03-12,epsilon,30,0,0.0,0.000936,3332.87,no,no-campaign
2022-03-13,alpha,41,0,0.0,0.00505,368.37,no,no-campaign
2022-03-13,beta,335,5,495.98,0.016795,99.2,no,no-campaign
2022-03-13,gamma,34,0,0.0,0.002025,905.48,no,no-campaign
2022-03-13,delta,583,16,525.41,0.029782,32.84,no,no-campaign
2022-03-13,epsilon,22,0,0.0,0.001239,3349.92,no,no-campaign
2022-03-14,alpha,84,1,425.51,0.004685,425.51,no,no-campaign
2022-03-14,beta,345,4,311.48,0.016289,77.87,no,no-campaign
2022-03-14,gamma,28,0,0.0,0.00185,1116.82,no,no-campaign
2022-03-14,delta,628,29,868.34,0.034548,29.94,no,no-campaign
2022-03-14,epsilon,43,0,0.0,0.001295,3216.85,no,no-campaign
2022-03-15,alpha,62,0,0.0,0.00498,412.21,no,no-campaign
2022-03-15,beta,625,13,1035.34,0.016981,79.64,no,no-campaign
2022-03-15,gamma,33,0,0.0,0.002116,1186.98,no,no-campaign
2022-03-15,delta,468,15,574.47,0.033498,38.3,no,no-campaign
2022-03-15,epsilon,36,0,0.0,0.001242,3275.86,no,no-campaign
2022-03-16,alpha,49,0,0.0,0.004601,356.04,no,no-campaign
2022-03-16,beta,454,7,735.97,0.020374,105.14,no,no-campaign
2022-03-16,gamma,35,0,0.0,0.002365,1045.73,no,no-campaign
2022-03-16,delta,532,20,629.28,0.034276,31.46,no,no-campaign
2022-03-16,epsilon,54,0,0.0,0.001135,3186.79,no,no-campaign
2022-03-17,alpha,55,0,0.0,0.005339,420.24,no,no-campaign
2022-03-17,beta,302,8,646.12,0.017235,80.76,no,no-campaign
2022-03-17,gamma,26,0,0.0,0.001974,1145.23,no,no-campaign
2022-03-17,delta,607,15,533.73,0.023489,35.58,no,no-campaign
2022-03-17,epsilon,31,0,0.0,0.001169,3573.86,no,no-campaign
2022-03-18,alpha,62,0,0.0,0.004641,413.69,no,no-campaign
2022-03-18,beta,354,6,595.91,0.018132,99.32,no,no-campaign
2022-03-18,gamma,35,0,0.0,0.00253,984.77,no,no-campaign
2022-03-18,delta,634,19,631.88,0.029892,33.26,no,no-campaign
